Running GRASP algorithm...
Seconds: 1, Iteration: 10, Iteration per second: 10.000000, Best solution: 1340342 found at 1s
Seconds: 2, Iteration: 20, Iteration per second: 10.000000, Best solution: 1368361 found at 2s
Seconds: 2, Iteration: 30, Iteration per second: 15.000000, Best solution: 1368361 found at 2s
Seconds: 3, Iteration: 40, Iteration per second: 13.333333, Best solution: 1371318 found at 2s
Seconds: 4, Iteration: 50, Iteration per second: 12.500000, Best solution: 1371318 found at 2s
Seconds: 4, Iteration: 60, Iteration per second: 15.000000, Best solution: 1371318 found at 2s
Seconds: 4, Iteration: 70, Iteration per second: 17.500000, Best solution: 1371318 found at 2s
Seconds: 4, Iteration: 80, Iteration per second: 20.000000, Best solution: 1376922 found at 4s
Seconds: 5, Iteration: 90, Iteration per second: 18.000000, Best solution: 1380894 found at 4s
Seconds: 5, Iteration: 100, Iteration per second: 20.000000, Best solution: 1384179 found at 5s
Seconds: 5, Iteration: 110, Iteration per second: 22.000000, Best solution: 1386905 found at 5s
Seconds: 5, Iteration: 120, Iteration per second: 24.000000, Best solution: 1386905 found at 5s
Seconds: 6, Iteration: 130, Iteration per second: 21.666667, Best solution: 1391784 found at 5s
Seconds: 6, Iteration: 140, Iteration per second: 23.333333, Best solution: 1391784 found at 5s
Seconds: 6, Iteration: 150, Iteration per second: 25.000000, Best solution: 1393276 found at 6s
Seconds: 6, Iteration: 160, Iteration per second: 26.666667, Best solution: 1399677 found at 6s
Seconds: 7, Iteration: 170, Iteration per second: 24.285714, Best solution: 1400414 found at 7s
Seconds: 7, Iteration: 180, Iteration per second: 25.714286, Best solution: 1400414 found at 7s
Seconds: 7, Iteration: 190, Iteration per second: 27.142857, Best solution: 1400414 found at 7s
Seconds: 8, Iteration: 200, Iteration per second: 25.000000, Best solution: 1401415 found at 8s
Seconds: 8, Iteration: 210, Iteration per second: 26.250000, Best solution: 1401415 found at 8s
Seconds: 8, Iteration: 220, Iteration per second: 27.500000, Best solution: 1401415 found at 8s
Seconds: 9, Iteration: 230, Iteration per second: 25.555556, Best solution: 1401415 found at 8s
Seconds: 9, Iteration: 240, Iteration per second: 26.666667, Best solution: 1401760 found at 9s
Seconds: 9, Iteration: 250, Iteration per second: 27.777778, Best solution: 1401760 found at 9s
Seconds: 9, Iteration: 260, Iteration per second: 28.888889, Best solution: 1401927 found at 9s
